"geoid","geography","name","short_name","latitude","longitude","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,96.6,0,0,0,0,1,2.5
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,92.9,3.2,0,0.7,0,1.6,1.6
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,95,2.1,0,2,0,0,0.9
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,92.6,0.6,0.8,0.9,0,3.8,1.3
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,97.6,0,0,0,0,1.1,1.3
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,97.8,0,0,0,0,2.2,0
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,94.9,0,0.9,1.4,0,1.4,1.4
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,91.6,0,0,0.9,4.6,1.9,0.9
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,96.7,0.4,0.5,0,0,0.9,1.5
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,96,0,0,0.7,0,3.1,0.2
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,83.8,3,0.1,5.7,0,2.5,4.8
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,96.2,0,0,0.6,0,2.4,0.8
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,97.2,0,0,1.4,0,1.1,0.4
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,96.9,0.3,0,1.2,1.3,0,0.3
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,98.5,0,0.3,0.3,0,0.9,0
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,90.3,0,3.5,0,0,1.8,4.4
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,96,0.4,0.7,0.9,0,1.1,0.8
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,85,0.7,2.5,1,0,2,8.8
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,93.9,0.4,0,1.1,1.1,1.8,1.7
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,98.1,0.2,0,0,0,0,1.7
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,94.9,0.7,0,0,0,0,4.4
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,93.5,0.6,2.2,0.8,0,1.5,1.4
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,97.4,0,0.6,0.9,0,0.6,0.6
