"geoid","geography","name","short_name","latitude","longitude","uninsured","insured"
"5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,1.5,98.5
"5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,7.90000000000001,92.1
"5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,5,95
"5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,4.8,95.2
"5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,5.5,94.5
"5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,4.5,95.5
"5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,5.40000000000001,94.6
"5000131525","county subdivision","Hancock town, Addison County, Vermont","Hancock",43.9053287,-72.918171,10.2,89.8
"5000139325","county subdivision","Leicester town, Addison County, Vermont","Leicester",43.8745281,-73.0997492,4.40000000000001,95.6
"5000140075","county subdivision","Lincoln town, Addison County, Vermont","Lincoln",44.0929248,-72.9735212,5.40000000000001,94.6
"5000144350","county subdivision","Middlebury town, Addison County, Vermont","Middlebury",44.0018997,-73.1190475,2.59999999999999,97.4
"5000145550","county subdivision","Monkton town, Addison County, Vermont","Monkton",44.2270403,-73.1317208,4.5,95.5
"5000148700","county subdivision","New Haven town, Addison County, Vermont","New Haven",44.1049674,-73.1657672,3.2,96.8
"5000153725","county subdivision","Orwell town, Addison County, Vermont","Orwell",43.8090987,-73.2779922,5.5,94.5
"5000153950","county subdivision","Panton town, Addison County, Vermont","Panton",44.1304184,-73.3401912,4.7,95.3
"5000159650","county subdivision","Ripton town, Addison County, Vermont","Ripton",43.9849365,-72.9967754,2.2,97.8
"5000162575","county subdivision","Salisbury town, Addison County, Vermont","Salisbury",43.9254949,-73.1115282,3.90000000000001,96.1
"5000165050","county subdivision","Shoreham town, Addison County, Vermont","Shoreham",43.8992426,-73.3153144,7.3,92.7
"5000170075","county subdivision","Starksboro town, Addison County, Vermont","Starksboro",44.2102844,-72.9934529,6.40000000000001,93.6
"5000174650","county subdivision","Vergennes city, Addison County, Vermont","Vergennes",44.1676604,-73.2553163,2.3,97.7
"5000176075","county subdivision","Waltham town, Addison County, Vermont","Waltham",44.1239371,-73.2293622,4.90000000000001,95.1
"5000183275","county subdivision","Weybridge town, Addison County, Vermont","Weybridge",44.0403287,-73.2227845,6.2,93.8
"5000183800","county subdivision","Whiting town, Addison County, Vermont","Whiting",43.8764212,-73.2125363,3.2,96.8
